AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16,AS17,AS18,AS19,AS20,AS22,AS23,AS24,AS25,AS26-1,AS26-2,AS26-3,AS28,AS29,AS30,AS31,AS32,AS33,AS34,BP05,BP20,BP21,BP22,BP27,BP39,BP44,BP45,CA04,CA21,CA24,CA33,CA42,CA44,GL01,GL05,GL12,GL14,GL361,GL37,GL38,GL42,GL43,GL46,GL49,GL51,H1305,H1309,H1310,H1311,H1312,H1313,H1314,H1319,H1320,H1336,H1338,H1346,HB03,HB17,HB20,HB37,HB38,HT01,HT02,HT03,HT04,HT07,HT081,HT09,HT10,HT11,HT12,HT13,HT14,HT15,HT16,HT17,HT18,HT19,HT20,HT21,HT22,HT25,HT26,HT27,HT28,HT29,HT30,HT31,HT32,HT33-2,HT33-3,HT35,HT36,HT37,HT38,HT391,HT40,HT41,HT43,HT44,HT45,HT46,HT47-1,HT47-2,HT47-3,HT49,MH14,ML04,ML07,ML09,ML12,MM01,MM02,MM03,MM04,MM08,MM09,MM11,MM12,MM13,MM14,MM16,MM17,MM18,MM20,MM22,MM23,MM25,MM26,MM27,MM28,MM30,MM31,MM34,MM36,MM37,MM41,MM48,NB01,NB02,NB04,neg,neg2,neg3,neg4,NH04,NH08,NH11,NH12,NH13,NH16,NH21,NH25,NH26,NH27,NH28,NH29,NH30,NH31,NH32,NH34,NH35,NH38,NH40,NH41,NH45-1,NH45-2,NH45-3,NH47,NH48,NH50,NL01,NL02,NL03,NL04,NL05,NL06,NL07,NL08,NL09,NL10,NL11,NL12-1,NL12-2,NL12-3,OC01,OC02,OC08,OC09,OC10,OC11,OC12,OC14,OC15,OM18,OM19,OM20,OM21,OM22,OM23,OM25,OM26,OM28,OM29,OM30,OM32,OM33,OM43,OM44,OM46,OM49,PL02,PL03,PL04,PL07,PL09,PL10,PL15,PL37,PL46,pos,pos2,pos3,pos4,RC01,RC02,RC03,RC04,RC05,RC06-1,RC06-2,RC06-3,RC07,RC08,RC09,RC10,RC11,RC12,RC13,RC14,RC15,RC17,RC18,RC19,RC20,RC21,RC22,RC23,RC24,RC25,RC26,RC27,RC28,RC29,RC30,RC31,RC32,RC33,RC34,RC35,RC36,RC37,RC38,RC39,RC40,RC42,RC43,RC44,RC45,RC46,RC47,RC48,RC49,RC50,RE01-1,RE01-2,RE01-3,RE03,RE06,RE08,RE09,RE10,RE11,RE12,RE13,RE15,RE16,RE17,RE18,RE19,RE20,RE21,RE22,RE23,RE24,RE25,RE26,RE27,RE36,RE38,RE40,RE44,RE46,RE48,RE49,SC31,SC34,SC37,SK01,SK02,SK03,SK05,SK06,SK07,SK08,SK09,SK10,SK11,SK12,SK13,SK14,SK15,SK16,SK17,SK19,SK21,SK22,SK23,SK24,SK25,SK26,SK27,SK28,SK29-1,SK29-2,SK29-3,SK30,SK31,SK32,SK33,SK36,SK37,SK38,SK39,SK40,SK41,SK42,SK43,SK44,SK45,Undetermined,WM40,WM41,WM49,WM50
      0,      0,      0,      0,      0,      0,      5,      0,      8,      0,      0,      0,      7,      0,     12,      0,     27,      0,     21,     11,     18,      9,     32,      0,    134,      0,      0,      0,     75,     12,    147,     39,     10,      4,      0,      9,      0,     14,     12,      6,     20,      0,      8,     25,     47,     26,     54,      9,   1914,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     13,      9,      2,    231,      4,   8583,      0,     26,     11,      0,      0,     10,      4,      0,     48,      0,      0,   8734,      0,  61065,      0,   6730,      0,      7,     50,      0,     42,    130,      3,     27,     18,  32175,      6,      8,      6,  17462,      0,     14,      0,     11,      0,     20,      2,      0,      0,  62041,   5954,    171,      0,      0,     20,      0,      4,      0,      0,      0,      0,      0,      0,      4,      0,      0,      0,     14,     29,     10,      0,      6,      0,      0,    205,      1,      5,    141,     38,  36349,  55877,     55,      0,      9,      2,      6,    114,  38711,      5,    899,   2658,    128,     21,      0,     50,      0,     79,     13,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,     24,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      6,      0,      0,      0,     14,      3,      0,      0,      0,      0,      2,      0,      0,      0,     21,      0,      6,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0, 466368,      0,      0,     42,      4,      7,  64107,     19,     74,     81,    277,     22,      0,      0,    109,      0,      5,     31,    522,     27,    817, 174017,      3,      0,    653,     18,      0,      0,    650,  86274,      7, 135307, 189701, 131647, 131268,  51464,  74658, 133152,      1,  82354,  20725,      9,   5194,    957,   6657,      6,  31305,  31755,    226,      0,   5675,     20,      0,     11,  27433,      3,      0,      0,      0,      7,      8,      0,      0,      0,      0,      0,      0,  15145,      0,     25,      0,      0,      0,      0,    128,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      6,      0,      4,      2,      0,      2,      0, 148354,  55864,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      7,     36,      0,     19,      6, 269030, 151810,      0,      3,      0,      0,      0,      0,      0,      0,      0,      0,      0,    157,      0,      0,   6083,      0,      0,      0,      0,1086882,     77,      0,      0,      0
     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     6,     0,     0,     0,     0,     0,     0,     9,     0,     0,     0,     0,     0,     0,     0,   161,   287,   223,   171,     0,     0,     0,     0,    66,     0,    34,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,211703,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 78663,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 43277,     0,    17,     0,     0,     0,     0, 16913,     0,    19,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    51,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    41,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    92,     0,     0,     0,     0,     0,     0,     0,     0,   423,     0,     0,     0,   221,     0,     0,     0,  7954,    98,     0,   396,     0,     0,   512,     0,     0,     0,     0,     0,     0,     0,     0,   118,   738,     0,     0,     0,    24,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 17033,     0,     0,     0,   193, 18171,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0, 23647,     0,   236,     0,     0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  200, 1951, 2348,    0, 2691,  204,   75, 7420,    0,    0,    0,   23,    0,    0,    0,   72,    0,  558,    0,  136,    0,   22,    0,    0,  161,  961,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  257,    0,    0,    0,   13, 2684,    0,  342,    0,   26,  187,    0,   87, 1626,  817,    0,  883,  102,    0,    0,  174,   28,    0,   65,   55,    0,    0,    0,    0,    0,   42,   53,   34,  566,   10,   40,    0, 4659, 2092, 1719,   54,    0,    0,  965,    0,    0,    0,  202,    0,    0,    0,    0,    0,    0,    0,    0,  136,    0,    0,   62,    0,    0,    0,    0,   54,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  161,    0,   84,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  828,14996,    0,    0,19031,    0, 1465, 3202,  967,10787, 2011, 1624,    0,  239, 4168, 2389,  775,11678,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  192,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  124,   74,   49,    0,    0,    0,    0,    0,   98,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,66684,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,44853,    0,    0,    0,    0,    0,    6,    0,    0,    0,    0,   42,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,82371,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 3640,    0,    0,    0,    0
    0,    0,    0,   18,   27,    0,   39,  105,    0,    0,  417,    0,  285,  453,    0,  936,    0,   39,  698,14476,    0,  648,    0,   21,    0,    0,    0,   34,   41,    0,  139,    0,    0,    0,    0,  310,  332,    0,  414,    0,    0, 1063,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  334,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 2442,    0,    0,    0,    0, 2506,    6,  181,   85,   33,   60,    0,  163,  165, 1292,   74, 5437,    0,    0,    0,  407,   23,   24,   88,   56,   31,    0,    0,    0,    0,   20,   79,   18,  257,   15,   28,   13, 2361, 5103,   82,   60,   23,   22,  710,31963,    0,    0,   47,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   75,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    9,    0,    0,  124,  101,    0,    0,    0,    0,    0,    0,    0,    0,    0,  166, 2647,    0,    0, 4895,    0,  320,  582,  284, 1815,  293,  368,    0,   55,  855,  503,  100, 2331,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   42,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 2142,    0,    0,    0,    0,   54,    0,    0,    0,    0,  170,    0,  774,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,33131,    0,   23,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  173, 1808, 2268,    0, 2401,  178,  111, 7446,    0,   13,    0,   37,    0,    0,    0,   25,    0,  489,    0,  140,    0,   18,   72,    0,  118,  831,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   18,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   21,  728,   11,    0,    0,    0,    0,    0,    0,    0,   86,    0,    0,   70,    0,    0,  169,    0,    0,    0,    0,   21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   53,    0,  134,    0,  216,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 1185,18389,    0,    0,18729,    0, 2833, 5065, 1755,18246, 3476, 2623,    0,  292, 5801, 3676, 1100,15626,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  410,    0,    0,   15,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   57,    0,    0,    0,    0,    0,    0,    0,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  223,  105,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 4048,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   84,  838, 1046,    0, 1143,   67,   31, 2817,    0,    0,    0,    0,    0,    0,    0,    0,    0,  179,    0,   61,    0,    0,    0,    0,   43,  301,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  354,    0,    0,    0,    0,    0,    0,    0,    0,    9,    0,    0,    0,    0,    0,  140,    0,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   28,    0,    0,    0,    0,    0,    0,    0,    0,    0,  270, 4387,    0,    0,10681,    0,  299,  885,  335, 2690,  538,  306,    0,  103, 1228,  634,  265, 4172,    0,    0,    0, 4891, 3845,    0,    0,    0, 2891, 4504,    0,    0,    0,   75,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   27,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 6974,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   14,36647,12614,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 2941,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  180,  289,    0,  230,    0,    0,  636,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  111,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  314,   16,    0,    0,    0, 4322,    0,  278,    0,    0,  149,    0,   64, 1456,  643,   31,  615,  115,    0,    0,  194,   16,    0,   67,   56,    0,    8,    0,    0,    0,   35,   56,   41,  409,    0,   44,    0, 3575, 2021, 1281,   40,    0,    0,  709,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   49,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   71,  942,    0,    0, 1712,    0,  114,  261,   88,  712,  148,  169,    0,    0,  233,  292,    0,  632,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,25786,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    4,    0,    0,    0,    0,    0,   45,    5,    0,  351,   22,    0,    5,    0,    0,    0,   32,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  289,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    2,    0,    0,    0,    0,    0,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,   38,    0,    0,    0,    0,    0,    0,    0,    0,    0,  132,    0,    0,    0,    0,35592,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   19,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 2732,    0,   40,    0,    0
